i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,1523.82633923639,0.7631242145673997,0.0,467.4965297067244,0.4920693339990976
1,1540.1360009408895,0.7712920073516768,0.0,472.50019059065767,0.4973360000003595
2,1519.0842776566471,0.7607494150739844,0.0,466.0417068866279,0.49053804199866136
3,1542.6536762485857,0.7725528459014843,0.0,473.2725912500832,0.49814899999910267
4,1543.4019336836807,0.7729275692887551,0.0,473.5021500555895,0.49839062499813735
5,1532.8921381029763,0.7676643189489506,0.0,470.27783713003106,0.49499683400063077
6,1543.260643485068,0.7728568119005501,0.0,473.4588034642935,0.49834499999997206
7,1542.6552246349104,0.7725536213252104,0.0,473.27306628140065,0.49814949999927194
8,1521.219498590461,0.7618187224852614,0.0,466.69677390510145,0.4912275410024449
9,1542.051741270475,0.7722514000309388,0.0,473.0879228885186,0.4979546249996929
10,1537.626197619399,0.7700351110511502,0.0,471.73020498742204,0.49652554199929
11,1533.3450409508507,0.7678911303126608,0.0,470.4167837437126,0.4951430840010289
12,1538.746324682038,0.7705960647916666,0.0,472.073850126721,0.4968872499994177
13,1544.2152233218796,0.773334860461237,0.0,473.7516601695143,0.49865324999700533
14,1517.360277032028,0.7598860446303187,0.0,465.51279864526913,0.48998133299755864
15,1515.1598907536472,0.7587841027572862,0.0,464.8377394717462,0.48927079100030824
16,1526.4526554996833,0.7644394599362623,0.0,468.3022604566059,0.49291741600245587
17,1517.8696959638544,0.7601411589515678,0.0,465.6690838968517,0.4901458329986781
18,1527.0742054216496,0.7647507288675058,0.0,468.4929465105721,0.4931181249994552
19,1519.6605342114517,0.7610380013252203,0.0,466.21849733358056,0.49072412500026985
20,1543.3037412460776,0.772878395032547,0.0,473.4720254786342,0.4983589169969491
21,1516.8447946320177,0.7596278937561001,0.0,465.3546531749326,0.4898148749998654
22,1522.3627244690028,0.7623912439912701,0.0,467.0475055581303,0.4915967080014525
23,1520.34130680374,0.7613789286582189,0.0,466.42735238236105,0.490943958000571
24,1541.3760009365583,0.7719129928264602,0.0,472.8806116923837,0.49773641700085136
25,1542.6927729835681,0.7725724253406943,0.0,473.2845857847993,0.4981616249970102
26,1517.6980821716954,0.7600552156672327,0.0,465.6164342935352,0.49009041599856573
27,1537.955616705762,0.7702000823966844,0.0,471.8312678682297,0.49663191700165044
28,1518.9014380720841,0.760657849971867,0.0,465.98561330885246,0.4904790000000503
29,1536.8320026729289,0.769637382399838,0.0,471.4865529571182,0.4962690829997882
