i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,4233.7459268513485,1.8343208499560766,0.0,671.7282952539152,0.6684168749998207
1,4228.976432239148,1.8322544096070168,0.0,670.9715647980896,0.6676638749995618
2,4217.690053485325,1.8273644515825311,0.0,669.1808621695229,0.6658820000011474
3,4217.2807193634335,1.8271871026987399,0.0,669.1159170082785,0.6658173750001879
4,4233.164257526582,1.8340688347929954,0.0,671.6360073011949,0.6683250419991964
5,4233.549839188753,1.8342358926407032,0.0,671.6971838850255,0.6683859170007054
6,4222.881024456768,1.829613501584338,0.0,670.0044642801846,0.6667015419989184
7,4237.39140424707,1.8359002964581927,0.0,672.3066885629902,0.6689924170023005
8,4236.48775285413,1.8355087787290234,0.0,672.1633147705684,0.6688497499999357
9,4259.023032178145,1.8452724569085421,0.0,675.7387737199081,0.6724075830024958
10,4220.165585871843,1.8284370054744719,0.0,669.5736314047516,0.6662728330011305
11,4238.525448176312,1.8363916344978664,0.0,672.4866165531187,0.6691714580010739
12,4243.424263860944,1.8385141047418696,0.0,673.2638651564727,0.6699448750005104
13,4233.0040582703405,1.8339994265571333,0.0,671.6105900052222,0.668299750002916
14,4226.978850104824,1.8313889333545919,0.0,670.6546273944516,0.667348500002845
15,4239.793037959488,1.83694083286939,0.0,672.6877329967706,0.6693715830006113
16,4226.814958082065,1.831317925183652,0.0,670.6286242022534,0.6673226249986328
17,4218.966878226462,1.827917651109587,0.0,669.3834438363308,0.6660835830007272
18,4233.944921816377,1.8344070668948573,0.0,671.7598678968967,0.6684482919990842
19,4245.459058194452,1.8393957036228168,0.0,673.5867066666755,0.6702661249983066
20,4249.650576202317,1.8412117287239054,0.0,674.2517350586942,0.670927874998597
21,4217.659441309008,1.8273511884925275,0.0,669.1760052259635,0.6658771670008719
22,4217.008883509642,1.827069326577312,0.0,669.0727873926116,0.6657744580006693
23,4259.4780280161385,1.845469589274701,0.0,675.8109635923955,0.6724794170004316
24,4223.091629644165,1.8297047487902465,0.0,670.0378790069883,0.6667347920010798
25,4220.752005679336,1.8286910788407762,0.0,669.6666730714923,0.6663654160001897
26,4228.276260286472,1.8319510517689372,0.0,670.8604751577848,0.6675533329980681
27,4221.91720018277,1.8291959132377453,0.0,669.8515434276624,0.6665493750006135
28,4221.460095110904,1.828997867020889,0.0,669.7790189030495,0.6664772080002876
29,4237.438377105438,1.8359206480085637,0.0,672.314141300736,0.6689998330002709
