i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,1696.056708219553,2.13210562208661,0.0,468.99660855836396,0.5107068340003025
1,1698.1034097991305,2.1346785218743367,0.0,469.5625661085455,0.5113231249997625
2,1692.418414711478,2.1275319389038634,0.0,467.9905411857592,0.5096112920000451
3,1690.6943979681757,2.1253646848414536,0.0,467.5138130187185,0.50909216600121
4,1701.3062373532607,2.138704782671892,0.0,470.4482176633577,0.5122875419983757
5,1695.8159324977382,2.1318029439581867,0.0,468.9300288288024,0.5106343330007803
6,1695.2462417456106,2.131086788154212,0.0,468.7724969317968,0.5104627910004638
7,1698.5780369658344,2.1352751736523228,0.0,469.6938108543344,0.5114660420003929
8,1698.1573760274023,2.1347463625887086,0.0,469.577488945685,0.5113393749998068
9,1694.4814456454424,2.130125366253036,0.0,468.5610141579725,0.5102325000007113
10,1706.3120882158423,2.144997616346446,0.0,471.8324444207073,0.5137948749979842
11,1694.0333864648817,2.1295621129766147,0.0,468.4371160388247,0.5100975829991512
12,1697.0918900604797,2.1334069447441752,0.0,469.2828588766953,0.5110185419980553
13,1697.1154127034304,2.1334365149578587,0.0,469.2893633996365,0.5110256250009115
14,1697.2283266475595,2.133578458593306,0.0,469.3205865636963,0.5110596249978698
15,1692.1726608124698,2.127223002730217,0.0,467.9225848818124,0.5095372920004593
16,1695.755878881392,2.1317274508143442,0.0,468.9134226963178,0.5106162500014761
17,1692.8812789075514,2.128113803501862,0.0,468.11853321405016,0.5097506670026632
18,1690.3656190988781,2.1249513783333307,0.0,467.42289850275984,0.5089931660004368
19,1705.9150894038498,2.144498550840612,0.0,471.7226656052208,0.5136753330007195
20,1722.8095641598518,2.165736522681356,0.0,476.3943557235645,0.5187624999998661
21,1693.2948793959606,2.1286337389039987,0.0,468.23290275453894,0.5098752080011764
22,1694.6671459281042,2.13035880928284,0.0,468.61236432943474,0.5102884170009929
23,1697.970845500837,2.13451187586285,0.0,469.5259091937063,0.5112832080012595
24,1697.0308667167408,2.1333302325601817,0.0,469.26598459347247,0.5110001670000202
25,1691.892863349303,2.126871270537907,0.0,467.8452147911353,0.5094530409987783
26,1704.196751565577,2.1423384357053865,0.0,471.2475077790692,0.5131579170010809
27,1691.4331840040743,2.126293409602262,0.0,467.71810344344755,0.5093146250001155
28,1696.5876528748324,2.132773070338223,0.0,469.143426315961,0.5108667089989467
29,1691.3864143747585,2.1262346157016077,0.0,467.705170622613,0.5093005419985275
