i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,256.736730168257,0.0,0.0,62.78061796370678,0.07594145899929572
1,246.83770108103627,0.0,0.0,60.35997810072678,0.07301337500030058
2,249.48762015903063,0.0,0.0,61.00797091874418,0.07379720799872302
3,261.96853136599685,0.0,0.0,64.05996631422177,0.07748899999933201
4,260.9436089466303,0.0,0.0,63.809338899864194,0.07718583300083992
5,259.1546474245066,0.0,0.0,63.37187866657925,0.07665666700268048
6,261.2578738137402,0.0,0.0,63.88618704912788,0.07727879099911661
7,260.56553299065286,0.0,0.0,63.71688682984707,0.07707399999708286
8,260.5077801721833,0.0,0.0,63.70276435648577,0.07705691699811723
9,260.269297511551,0.0,0.0,63.64444746198333,0.07698637500288896
10,259.6297770363277,0.0,0.0,63.48806356393864,0.0767972079993342
11,268.07593877521344,0.0,0.0,65.55342933003354,0.07929554099973757
12,261.1346195586505,0.0,0.0,63.85604730910659,0.07724233299813932
13,259.16746372829186,0.0,0.0,63.375012676547826,0.07666045800215215
14,260.80992855999216,0.0,0.0,63.776649626002715,0.07714629100155435
15,259.6238641522187,0.0,0.0,63.48661766830046,0.07679545899736695
16,250.8287784191757,0.0,0.0,61.33592845058567,0.07419391599978553
17,259.64851297636415,0.0,0.0,63.49264512066738,0.0768027499980235
18,261.11222229719306,0.0,0.0,63.85057043825109,0.077235707998625
19,262.45295796425046,0.0,0.0,64.17842463211218,0.0776322909987357
20,260.7072425967597,0.0,0.0,63.75153951330592,0.07711591699990095
21,240.3277041436231,0.0,0.0,58.768068636098214,0.07108775000233436
22,260.39015821218334,0.0,0.0,63.6740018988115,0.07702212500225869
23,262.73187065656884,0.0,0.0,64.24662800593482,0.07771479199800524
24,262.80286575413186,0.0,0.0,64.26398865430983,0.07773579199783853
25,259.5470914101739,0.0,0.0,63.467844194847004,0.07677274999878136
26,259.2690272739524,0.0,0.0,63.39984832104239,0.07669049999822164
27,263.9649879020873,0.0,0.0,64.54816593798147,0.07807954199961387
28,259.8130390424965,0.0,0.0,63.53287718288986,0.07685141599722556
29,264.2326259067603,0.0,0.0,64.61361227794589,0.0781587080018653
