i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,317.8188162702387,0.0,0.0,68.6825576445368,0.110928750000312
1,361.5172471330565,0.0,0.0,78.12605136820386,0.12618087499868125
2,365.56714624354925,0.0,0.0,79.00125892317271,0.12759441700109164
3,360.8413308938636,0.0,0.0,77.97998180377071,0.125944958999753
4,363.29860543222503,0.0,0.0,78.511013610226,0.12680262499998207
5,363.1196587906563,0.0,0.0,78.47234216474938,0.1267401670011168
6,365.1773761586178,0.0,0.0,78.91702726363606,0.1274583749982412
7,361.57550264021995,0.0,0.0,78.13864073366628,0.1262012080005661
8,320.61966160542903,0.0,0.0,69.28783716651473,0.1119063330006611
9,360.787490463621,0.0,0.0,77.96834656298437,0.1259261669983971
10,363.87567957423045,0.0,0.0,78.63572280299373,0.12700404200222692
11,364.54932954617544,0.0,0.0,78.78130261344465,0.1272391670026991
12,364.5024111287863,0.0,0.0,78.77116326126676,0.12722279100125888
13,363.39912073440485,0.0,0.0,78.53273557155335,0.1268377079977654
14,362.13132653995166,0.0,0.0,78.25875762127396,0.12639520800075843
15,364.4982367205501,0.0,0.0,78.77026114654089,0.12722133400166058
16,360.4311471743661,0.0,0.0,77.89133863503122,0.12580179199721897
17,362.40422461795254,0.0,0.0,78.31773253721299,0.12649045800208114
18,361.2869669971778,0.0,0.0,78.0762864458733,0.12610049999784678
19,363.55037360229466,0.0,0.0,78.56542222598009,0.12689049999971758
20,363.30994538834346,0.0,0.0,78.51346424294476,0.1268065830008709
21,363.6459953773748,0.0,0.0,78.58608666667018,0.12692387500283075
22,366.4062541016947,0.0,0.0,79.18259517794013,0.12788729200110538
23,362.061848555091,0.0,0.0,78.24374301088613,0.12637095800164388
24,362.24270905991347,0.0,0.0,78.28282805372238,0.12643408399890177
25,362.0681746289213,0.0,0.0,78.24511011348758,0.12637316600012127
26,362.6975363200963,0.0,0.0,78.38111896010236,0.12659283299944946
27,358.52527861331754,0.0,0.0,77.47946897657832,0.12513658400348504
28,355.4742151019403,0.0,0.0,76.82011580184641,0.12407166699995287
29,363.61639058594017,0.0,0.0,78.57968889318992,0.12691354200069327
