i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,350.06159203288655,0.0,0.0,73.32729560385845,0.10872254200148745
1,348.15467995134566,0.0,0.0,72.9278553079902,0.10813029099881533
2,349.6879634578959,0.0,0.0,73.24903173947592,0.10860649999813177
3,345.65050696371725,0.0,0.0,72.40330695111199,0.10735254199971678
4,340.1390654644476,0.0,0.0,71.24882697039375,0.10564079200048582
5,353.2700929536298,0.0,0.0,73.99937931945351,0.1097190420005063
6,350.6147227766598,0.0,0.0,73.44315973314124,0.10889433400006965
7,344.5928124845704,0.0,0.0,72.18175200907858,0.10702404200128512
8,347.23235425746674,0.0,0.0,72.73465602438603,0.10784383399732178
9,350.3030715703917,0.0,0.0,73.37787824940402,0.10879754100096761
10,348.65723454798535,0.0,0.0,73.03312526705905,0.10828637499798788
11,348.17815851859984,0.0,0.0,72.93277335635823,0.10813758299991605
12,352.10694777546087,0.0,0.0,73.7557356514507,0.10935779099963838
13,349.81071720303953,0.0,0.0,73.27474492927306,0.108644625001034
14,349.6850109408863,0.0,0.0,73.24841327663262,0.1086055830019177
15,346.24146679214306,0.0,0.0,72.5270951272936,0.1075360830000136
16,349.01476105744257,0.0,0.0,73.1080162366537,0.1083974160028447
17,349.51704839988264,0.0,0.0,73.21323021406631,0.10855341699789278
18,339.98330586077833,0.0,0.0,71.21620005341305,0.10559241599912639
19,350.75907473976633,0.0,0.0,73.47339709511014,0.10893916700297268
20,347.3249194409645,0.0,0.0,72.75404562532324,0.10787258300115354
21,353.67980870531187,0.0,0.0,74.08520235380207,0.10984629200174822
22,354.0738280635635,0.0,0.0,74.16773746937523,0.1099686669986113
23,349.80146036374106,0.0,0.0,73.2728059019503,0.1086417500009702
24,349.00389754202627,0.0,0.0,73.1057406593714,0.10839404199941782
25,349.8933590281963,0.0,0.0,73.29205588734567,0.10867029199653189
26,348.0918976573909,0.0,0.0,72.91470431990045,0.10811079199993401
27,348.4616335231562,0.0,0.0,72.99215277966113,0.10822562500106869
