i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,4319.289765826592,1.8254119541148643,0.0,675.5351802555263,0.6684346249967348
1,4352.448749074268,1.8394255553521544,0.0,680.7212318843227,0.6735661659986363
2,4376.829120766304,1.849729152551054,0.0,684.5343122004392,0.6773391669994453
3,4330.179511549561,1.8300141626022994,0.0,677.2383321019491,0.6701198750015465
4,4310.66218590011,1.821765778843762,0.0,674.1858302288351,0.6670994579981198
5,4325.011416888251,1.8278300299586894,0.0,676.430044177803,0.6693200829977286
6,4325.735138314875,1.8281358880546341,0.0,676.5432339175277,0.6694320829992648
7,4347.06876561683,1.8371518745739286,0.0,679.8798046377772,0.6727335830000811
8,4327.957460643241,1.8290750826824618,0.0,676.8908042348878,0.6697760000024573
9,4348.485786304246,1.8377507337943735,0.0,680.1014261027397,0.6729528750001919
10,4383.086028420811,1.8523734377570833,0.0,685.5128900383214,0.6783074589984608
11,4330.842382203359,1.8302943040332005,0.0,677.3420048053048,0.6702224580003531
12,4337.304451966587,1.8330252945510048,0.0,678.3526699143846,0.6712225000010221
13,4316.722008708338,1.8243267723389136,0.0,675.1335840761136,0.6680372499977238
14,4344.111956519706,1.8359022722169327,0.0,679.4173608855173,0.6722759999975096
15,4328.966308884005,1.8295014406575965,0.0,677.0485876935404,0.669932124998013
16,4330.573681242119,1.8301807460240553,0.0,677.2999800831567,0.6701808750003693
17,4371.366206613537,1.8474204237230736,0.0,683.6799146265353,0.6764937500047381
18,4327.686065067118,1.8289603858790966,0.0,676.8483580760569,0.6697339999955148
19,4330.916964261218,1.8303258237939386,0.0,677.3536694091241,0.6702339999974356
20,4324.388396143734,1.8275667298384473,0.0,676.3326039842137,0.6692236669987324
21,4336.148055024984,1.8325365797586783,0.0,678.1718098983298,0.671043541005929
22,4315.7473562602345,1.8239148661399014,0.0,674.9811488256646,0.6678864169953158
23,4364.8955232319495,1.8446857929304157,0.0,682.6679023510125,0.6754923749977024
24,4344.278884181038,1.8359728189422018,0.0,679.4434683045378,0.6723018330012565
25,4356.507572628897,1.841140889455201,0.0,681.3560302540211,0.674194291997992
26,4314.834620808611,1.8235291272118215,0.0,674.8383973685347,0.6677451659998042
27,4362.184256020569,1.8435399611277865,0.0,682.2438612508175,0.6750727909966372
28,4324.733023249692,1.8277123756443632,0.0,676.3865035248249,0.669277000000875
29,4332.038357679215,1.8307997454480662,0.0,677.5290548881808,0.6704075419984292
