i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
0,375.6479471195772,0.0,0.0,80.32554295569379,0.1269681660014612,1000,mac,phase-19,without
1,383.59709143073366,0.0,0.0,82.02532419427872,0.1296549590006179,1000,mac,phase-19,without
2,366.3914775833742,0.0,0.0,78.34621378046563,0.1238395000000309,1000,mac,phase-19,without
3,374.1168748582736,0.0,0.0,79.99815074807854,0.1264506670013361,1000,mac,phase-19,without
4,367.66885289590334,0.0,0.0,78.61935746812284,0.1242712499988556,1000,mac,phase-19,without
5,383.9118124443024,0.0,0.0,82.09262161061848,0.1297613339993404,1000,mac,phase-19,without
6,375.5611654777607,0.0,0.0,80.30698626571066,0.1269388340006116,1000,mac,phase-19,without
7,375.53330434935185,0.0,0.0,80.30102866555882,0.12692941700152,1000,mac,phase-19,without
8,374.86182356292346,0.0,0.0,80.1574446018956,0.1267024579974531,1000,mac,phase-19,without
9,377.0421871072083,0.0,0.0,80.62367604779706,0.1274394159991061,1000,mac,phase-19,without
10,375.6765508526328,0.0,0.0,80.33165934846492,0.1269778339992626,1000,mac,phase-19,without
11,375.1464674630339,0.0,0.0,80.21831056962074,0.1267986669990932,1000,mac,phase-19,without
12,378.4867262518033,0.0,0.0,80.93256470804418,0.1279276669993123,1000,mac,phase-19,without
13,375.5296060933957,0.0,0.0,80.30023786017856,0.1269281669992779,1000,mac,phase-19,without
14,375.8946203441011,0.0,0.0,80.37828957881379,0.1270515409996733,1000,mac,phase-19,without
15,375.683823091228,0.0,0.0,80.33321438561643,0.1269802919996436,1000,mac,phase-19,without
16,373.6414012930972,0.0,0.0,79.8964792959204,0.1262899579996883,1000,mac,phase-19,without
17,314.9850723569249,0.0,0.0,67.3538805522994,0.1064642500023183,1000,mac,phase-19,without
18,367.0926656555126,0.0,0.0,78.4961502117451,0.1240765000002284,1000,mac,phase-19,without
19,383.49859372980546,0.0,0.0,82.00426223622037,0.1296216669979912,1000,mac,phase-19,without
20,381.50252431833786,0.0,0.0,81.57743876897446,0.1289470000010624,1000,mac,phase-19,without
21,374.5009986985629,0.0,0.0,80.08028870802231,0.1265805000002728,1000,mac,phase-19,without
22,332.15382500117937,0.0,0.0,71.02510886220082,0.1122672499986947,1000,mac,phase-19,without
23,381.9548202102259,0.0,0.0,81.67415409344545,0.1290998750009748,1000,mac,phase-19,without
24,370.0998334750992,0.0,0.0,79.13917884991385,0.1250929159978113,1000,mac,phase-19,without
25,377.0426841466608,0.0,0.0,80.62378233072553,0.1274395839973294,1000,mac,phase-19,without
26,378.23080739815214,0.0,0.0,80.87784107377504,0.1278411669991328,1000,mac,phase-19,without
27,377.1951733191553,0.0,0.0,80.65638939185659,0.1274911249965953,1000,mac,phase-19,without
28,374.3644119900847,0.0,0.0,80.05108210220116,0.1265343339982791,1000,mac,phase-19,without
29,379.98685748159807,0.0,0.0,81.25334073374067,0.1284347079999861,1000,mac,phase-19,without
0,380.3526569408623,0.0,0.0,80.10239659227442,0.1271814169995195,1000,mac,phase-26,without
1,387.17328681307646,0.0,0.0,81.53882352150227,0.1294620829976338,1000,mac,phase-26,without
2,385.3726788755025,0.0,0.0,81.15961488843315,0.1288599999970756,1000,mac,phase-26,without
3,378.4771576230187,0.0,0.0,79.70741580950627,0.1265542919973086,1000,mac,phase-26,without
4,379.13547022559806,0.0,0.0,79.84605666349064,0.1267744169999787,1000,mac,phase-26,without
5,394.2382781455051,0.0,0.0,83.02671305586976,0.1318244579997554,1000,mac,phase-26,without
6,373.8768198704676,0.0,0.0,78.73858314227304,0.1250160419986059,1000,mac,phase-26,without
7,379.232417501541,0.0,0.0,79.8664737921853,0.1268068339995807,1000,mac,phase-26,without
8,382.8017323253333,0.0,0.0,80.61817268625285,0.1280003330030013,1000,mac,phase-26,without
9,380.0052443470086,0.0,0.0,80.02923138397054,0.127065250002488,1000,mac,phase-26,without
10,382.05320136284416,0.0,0.0,80.46053181553789,0.1277500409996719,1000,mac,phase-26,without
11,380.4557080962611,0.0,0.0,80.12409920002123,0.1272158749998198,1000,mac,phase-26,without
12,382.215942515876,0.0,0.0,80.49480515672312,0.1278044579994457,1000,mac,phase-26,without
13,361.8984704460614,0.0,0.0,76.21593875263807,0.1210107500010053,1000,mac,phase-26,without
14,378.8783985966985,0.0,0.0,79.79191729258059,0.1266884579999896,1000,mac,phase-26,without
15,380.88423856576446,0.0,0.0,80.21434786003091,0.1273591659992234,1000,mac,phase-26,without
16,379.1726048879838,0.0,0.0,79.85387723579232,0.1267868340000859,1000,mac,phase-26,without
17,378.95814974542776,0.0,0.0,79.80871291114045,0.126715124999464,1000,mac,phase-26,without
18,380.36461647596656,0.0,0.0,80.10491527436194,0.1271854160004295,1000,mac,phase-26,without
19,364.3920344346489,0.0,0.0,76.74108416150293,0.1218445419981435,1000,mac,phase-26,without
20,380.7520317589275,0.0,0.0,80.18650506235302,0.1273149590015236,1000,mac,phase-26,without
21,382.7415458800854,0.0,0.0,80.60549740078093,0.1279802080025547,1000,mac,phase-26,without
22,380.34679830413467,0.0,0.0,80.10116276142276,0.1271794580025016,1000,mac,phase-26,without
23,377.197042065428,0.0,0.0,79.43782304550984,0.1261262500011071,1000,mac,phase-26,without
24,378.9667478199144,0.0,0.0,79.81052366849916,0.1267180000031658,1000,mac,phase-26,without
25,363.53484190384074,0.0,0.0,76.56055912820624,0.1215579159979824,1000,mac,phase-26,without
26,380.69109765029833,0.0,0.0,80.17367231872328,0.1272945839991734,1000,mac,phase-26,without
27,379.47166496381067,0.0,0.0,79.91685938764968,0.1268868329971155,1000,mac,phase-26,without
28,379.2726654116168,0.0,0.0,79.87495001549036,0.1268202920000476,1000,mac,phase-26,without
29,384.0864564464969,0.0,0.0,80.88873601527702,0.1284299159997317,1000,mac,phase-26,without
0,381.4033142582579,0.0,0.0,82.61925110554331,0.1332604589988477,1000,mac,phase-21,without
1,362.55955683134994,0.0,0.0,78.5373329144196,0.1266765420004958,1000,mac,phase-21,without
2,362.6956262691683,0.0,0.0,78.5668081565862,0.1267240839988517,1000,mac,phase-21,without
3,364.8477942397509,0.0,0.0,79.0330088930131,0.1274760409978625,1000,mac,phase-21,without
4,344.4926161941541,0.0,0.0,74.62368809432583,0.1203640410021762,1000,mac,phase-21,without
5,363.3133567014207,0.0,0.0,78.70062038052308,0.1269399160009925,1000,mac,phase-21,without
6,363.8416525701065,0.0,0.0,78.81505936781363,0.1271245000025374,1000,mac,phase-21,without
7,363.50917225752414,0.0,0.0,78.74303777438224,0.1270083330018678,1000,mac,phase-21,without
8,364.4152638869781,0.0,0.0,78.93931454770832,0.1273249170008057,1000,mac,phase-21,without
9,362.471785151328,0.0,0.0,78.51831989014688,0.1266458750033052,1000,mac,phase-21,without
10,344.8277210316543,0.0,0.0,74.69627821004087,0.1204811249990598,1000,mac,phase-21,without
11,364.5188944083878,0.0,0.0,78.96176290028019,0.1273611249998794,1000,mac,phase-21,without
12,363.5227671803984,0.0,0.0,78.74598269464046,0.1270130830016569,1000,mac,phase-21,without
13,363.6805398489252,0.0,0.0,78.78015927159012,0.1270682080030383,1000,mac,phase-21,without
14,363.0369275435488,0.0,0.0,78.6407405390185,0.1268433330005791,1000,mac,phase-21,without
15,363.51000797351264,0.0,0.0,78.74321880644601,0.1270086249969608,1000,mac,phase-21,without
16,348.4839225883733,0.0,0.0,75.48828138152486,0.1217585840022366,1000,mac,phase-21,without
17,361.4334449521908,0.0,0.0,78.29339554775532,0.1262830839987145,1000,mac,phase-21,without
18,363.57273639099617,0.0,0.0,78.75680698117282,0.1270305420002841,1000,mac,phase-21,without
19,363.6069612529738,0.0,0.0,78.76422074072885,0.1270425000002433,1000,mac,phase-21,without
20,366.3633906583192,0.0,0.0,79.36131605868071,0.1280055829993216,1000,mac,phase-21,without
21,370.41360743401054,0.0,0.0,80.23867046099758,0.1294207089995325,1000,mac,phase-21,without
22,346.6831905324902,0.0,0.0,75.09820838441907,0.1211294169988832,1000,mac,phase-21,without
23,365.82126518573983,0.0,0.0,79.24388131473557,0.1278161670015833,1000,mac,phase-21,without
24,364.1797368434446,0.0,0.0,78.88829488630428,0.1272426249997806,1000,mac,phase-21,without
25,363.9925075577076,0.0,0.0,78.84773744279413,0.1271772079999209,1000,mac,phase-21,without
26,362.5031479127712,0.0,0.0,78.52511366399774,0.1266568329992878,1000,mac,phase-21,without
27,362.4386307071827,0.0,0.0,78.511138003562,0.1266342910021194,1000,mac,phase-21,without
28,363.69341924406274,0.0,0.0,78.78294919485816,0.1270727080009237,1000,mac,phase-21,without
29,367.1670423932719,0.0,0.0,79.53540239199062,0.1282863749984244,1000,mac,phase-21,without
0,392.35717841459865,1.1193729478414245,0.0,83.85120991103034,0.127699874999962,1000,mac,phase-28,without
1,389.26279227470064,1.1105448383388192,0.0,83.18990425374427,0.1266927500000747,1000,mac,phase-28,without
2,371.9353298433309,1.0611105632255486,0.0,79.48682764525928,0.1210532080003758,1000,mac,phase-28,without
3,347.0769311623034,0.9901909508391123,0.0,74.17430395376623,0.1129625840003427,1000,mac,phase-28,without
4,384.2530898061848,1.0962524391462003,0.0,82.11927362331537,0.1250622500010649,1000,mac,phase-28,without
5,388.4315534329222,1.1081733607060114,0.0,83.01225902015939,0.1264222079989849,1000,mac,phase-28,without
6,391.34312922219846,1.1164799225670052,0.0,83.63449601774657,0.1273698340010014,1000,mac,phase-28,without
