i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,2874.5451355834916,1.256386040718786,0.0,571.854025270319,0.6059325420028472
1,2890.5357807513724,1.2633751198333618,0.0,575.0351598062585,0.6093032499993569
2,2902.238047459548,1.2684898645472018,0.0,577.3631762423264,0.6117699999995239
3,2898.79232231774,1.266983831152655,0.0,576.677693253061,0.6110436669987394
4,2903.1714298317124,1.2688978207725274,0.0,577.5488607389904,0.6119667499988282
5,2928.801886913396,1.2801002013147738,0.0,582.6477126826401,0.6173694580029405
6,2897.482977796503,1.2664115520262602,0.0,576.4172158906894,0.6107676669998909
7,2889.1673354364934,1.2627770093463084,0.0,574.7629250961513,0.6090147919967421
8,2893.1942008189644,1.2645370434441427,0.0,575.5640185107866,0.6098636249989795
9,2903.4448029522487,1.2690173047800308,0.0,577.6032448283004,0.6120243750010559
10,2896.9253583231234,1.2661678316150846,0.0,576.3062846214343,0.6106501249996654
11,2899.5361438686523,1.2673089354628235,0.0,576.8256670464472,0.6112004589995195
12,2892.876352687055,1.264398120610385,0.0,575.5007866862426,0.6097966249981255
13,2895.9775494362375,1.2657535699498175,0.0,576.1177301540012,0.6104503339993244
14,2900.265728662913,1.2676278172711772,0.0,576.9708086190074,0.6113542499988398
15,2903.4329429434633,1.2690121210905154,0.0,577.6008854310936,0.6120218750002095
16,2899.374449300365,1.267238263134203,0.0,576.7934999781362,0.6111663749979925
17,2892.9834865033354,1.2644449459079241,0.0,575.522099590091,0.609819208002591
18,2902.4566653066404,1.268585416503558,0.0,577.4066674696195,0.6118160830010311
19,2886.815102759571,1.2617489119742322,0.0,574.2949784606926,0.6085189590012305
20,2893.8498598388032,1.264823614293144,0.0,575.694453495111,0.610001832999842
21,2887.0621846104905,1.2618569047778823,0.0,574.3441322378487,0.608571042001131
22,2896.109390012052,1.2658111939046486,0.0,576.1439581519685,0.6104781250032829
23,2892.731461381355,1.2643347925340054,0.0,575.47196241232,0.6097660829982487
24,2892.255879939107,1.264126928730488,0.0,575.3773515611189,0.6096658339993155
25,2891.3442345911144,1.2637284731713367,0.0,575.1959913676694,0.6094736660015769
26,2897.70733113518,1.2665096108110792,0.0,576.4618481207481,0.6108149589999812
27,2888.5555536944235,1.2625096160703468,0.0,574.6412189355979,0.6088858329967479
28,2892.6087103465115,1.2642811413720347,0.0,575.4475426623871,0.6097402080013126
