i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
0,1386.7005541149863,0.0998895877817119,0.0,439.2811105347087,0.4755048749975685,10,mac,phase-19,with
1,1389.776976809194,0.1001111948142143,0.0,440.255664394643,0.4765597919977153,10,mac,phase-19,with
2,1385.844628906725,0.0998279320652189,0.0,439.009969245478,0.4752113750000717,10,mac,phase-19,with
3,1385.5003865740737,0.0998031349130122,0.0,438.90091963579016,0.4750933329996769,10,mac,phase-19,with
4,1389.920116092038,0.1001215057093215,0.0,440.3010082743598,0.4766088750002382,10,mac,phase-19,with
5,1395.4414636433553,0.1005192304590982,0.0,442.0500691489612,0.4785021659990889,10,mac,phase-19,with
6,1383.25911358358,0.0996416870543074,0.0,438.1909257691591,0.4743247919977875,10,mac,phase-19,with
7,1394.1143187941695,0.1004236309069682,0.0,441.62965418521094,0.4780470830010017,10,mac,phase-19,with
8,1391.919461157872,0.1002655265318898,0.0,440.93436384507424,0.4772944579999603,10,mac,phase-19,with
9,1385.5401236639073,0.0998059973345432,0.0,438.91350761154297,0.4751069589983672,10,mac,phase-19,with
10,1389.6626327917504,0.1001029581572562,0.0,440.21944232289394,0.4765205830008199,10,mac,phase-19,with
11,1380.044652178929,0.0994101365413304,0.0,437.17264379659065,0.4732225410007231,10,mac,phase-19,with
12,1384.9940492190317,0.0997666614079548,0.0,438.7405213183826,0.4749197080018348,10,mac,phase-19,with
13,1374.9844398051246,0.0990456292029527,0.0,435.56966202485194,0.4714873750017432,10,mac,phase-19,with
14,1387.592932719944,0.0999538693821843,0.0,439.5637995863861,0.475810875002935,10,mac,phase-19,with
15,1390.2901178414663,0.1001481584153576,0.0,440.41821799127104,0.4767357500022626,10,mac,phase-19,with
16,1383.923900638318,0.0996895743250403,0.0,438.401518023419,0.4745527499981108,10,mac,phase-19,with
17,1383.3757643872302,0.0996500898783031,0.0,438.22787858815104,0.474364792000415,10,mac,phase-19,with
18,1391.7060864361836,0.1002501562971774,0.0,440.8667706762208,0.4772212909992959,10,mac,phase-19,with
19,1392.4171721955554,0.1003013786488022,0.0,441.09202950454926,0.4774651250008901,10,mac,phase-19,with
20,1405.4888679186208,0.1012429851791452,0.0,445.23290115615447,0.4819474590003665,10,mac,phase-19,with
21,1390.8625582914522,0.1001893935907594,0.0,440.5995565476296,0.476932042001863,10,mac,phase-19,with
22,1391.9551883778888,0.1002681001064582,0.0,440.94568156816786,0.4773067089990945,10,mac,phase-19,with
23,1388.182261289353,0.0999963210763814,0.0,439.7504879869002,0.4760129580026841,10,mac,phase-19,with
24,1375.0170057848686,0.0990479750607392,0.0,435.5799783254442,0.4714985419996083,10,mac,phase-19,with
25,1388.4195727452525,0.1000134155698071,0.0,439.82566387082176,0.4760943330002192,10,mac,phase-19,with
26,1387.2079850901775,0.0999261400646032,0.0,439.4418552907703,0.4756788750019041,10,mac,phase-19,with
27,1395.1198253223383,0.1004960615642666,0.0,441.9481800724568,0.4783918749999429,10,mac,phase-19,with
28,1386.186074535617,0.0998525277596669,0.0,439.11813291109553,0.4753284580001491,10,mac,phase-19,with
29,1391.5517690909974,0.1002390402015269,0.0,440.817885792915,0.477168374996836,10,mac,phase-19,with
0,1426.5765533003218,2.1648606440016094,0.0,449.2585419528878,0.4772647499994491,10,mac,phase-26,with
1,1428.190897847305,2.1673104466200086,0.0,449.76693253011223,0.477804833000846,10,mac,phase-26,with
2,1429.4735844199126,2.1692569511193316,0.0,450.1708771330563,0.4782339589983166,10,mac,phase-26,with
3,1426.3045481635716,2.1644478703483796,0.0,449.1728818942968,0.4771737500013842,10,mac,phase-26,with
4,1432.4783415347592,2.1738167347549635,0.0,451.1171374632262,0.4792392079980345,10,mac,phase-26,with
5,1436.4295181245916,2.1798127303270483,0.0,452.3614449135624,0.4805610839975998,10,mac,phase-26,with
6,1430.3283291990774,2.1705540447304656,0.0,450.4400539902962,0.4785199159996409,10,mac,phase-26,with
7,1435.083439404635,2.1777700268788385,0.0,451.93753680874846,0.4801107499988575,10,mac,phase-26,with
8,1422.6951236106663,2.158970490852691,0.0,448.03619924787614,0.4759662079995905,10,mac,phase-26,with
9,1432.3594005681034,2.1736362392764157,0.0,451.07968048614725,0.4791994160004833,10,mac,phase-26,with
10,1428.7660452461284,2.168183245184749,0.0,449.9480583738012,0.477997250000044,10,mac,phase-26,with
11,1429.723545189978,2.169636271971344,0.0,450.24959496340705,0.4783175839984324,10,mac,phase-26,with
12,1421.6032441598818,2.157313540270173,0.0,447.6923437646825,0.4756009170014295,10,mac,phase-26,with
13,1421.8990363025048,2.157762411217118,0.0,447.78549484473393,0.4756998750017374,10,mac,phase-26,with
14,1413.0257383406006,2.1442969904545337,0.0,444.9911092960185,0.4727312909999455,10,mac,phase-26,with
15,1432.2689812727922,2.173499026048409,0.0,451.0512055748767,0.4791691659993375,10,mac,phase-26,with
16,1432.7423778229895,2.174217415508938,0.0,451.2002879661548,0.4793275419979181,10,mac,phase-26,with
17,1424.457926162271,2.1616455816904634,0.0,448.5913423295794,0.4765559579973342,10,mac,phase-26,with
18,1421.4663687712782,2.157105828920064,0.0,447.649238866196,0.475555124998209,10,mac,phase-26,with
19,1425.649069562073,2.1634531674534765,0.0,448.9664580889222,0.4769544579976355,10,mac,phase-26,with
20,1425.254760753872,2.1628547953447503,0.0,448.8422820677744,0.4768225410007289,10,mac,phase-26,with
21,1432.5518217856184,2.173928242618196,0.0,451.1402779181053,0.4792637909995392,10,mac,phase-26,with
22,1427.4534709787931,2.1661913854649817,0.0,449.53470151595593,0.4775581249996321,10,mac,phase-26,with
23,1431.401903603775,2.1721832170113085,0.0,450.77814483485446,0.4788790829989011,10,mac,phase-26,with
24,1427.16166326043,2.165748560967664,0.0,449.4428052137357,0.4774604999984149,10,mac,phase-26,with
25,1426.5338335481072,2.164795815857562,0.0,449.245088616964,0.4772504579996166,10,mac,phase-26,with
26,1429.8747382100132,2.1698657106355115,0.0,450.2972087809602,0.4783681660010188,10,mac,phase-26,with
27,1419.4442646186633,2.1540372423181453,0.0,447.01243633276096,0.4748786250020202,10,mac,phase-26,with
28,1436.3390958497594,2.1796755125775538,0.0,452.3329690639789,0.4805308329996478,10,mac,phase-26,with
29,1425.462378387526,2.1631698595753086,0.0,448.9076651663283,0.4768919999987702,10,mac,phase-26,with
0,1381.9094842887912,1.232925439914284,0.0333223091868725,441.0874067066318,0.4757015830000455,10,mac,phase-21,with
1,1383.3489080251932,1.2342096789788564,0.0333570183507799,441.5468519092735,0.4761970830004429,10,mac,phase-21,with
2,1377.8662199972532,1.2293180810662478,0.0332248130017904,439.7968497047006,0.4743097499995201,10,mac,phase-21,with
