i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,353.3303920568681,0.0,0.0,69.15518081324026,0.07560670800012304
1,314.38863582784177,0.0,0.0,61.53335078178913,0.06727383299585199
2,317.2772995012459,0.0,0.0,62.098731125891405,0.06789195800229209
3,321.3954204399756,0.0,0.0,62.904745566004465,0.06877316600002814
4,319.5576625612702,0.0,0.0,62.54505253860031,0.06837991700012935
5,331.31404809256026,0.0,0.0,64.84605744902893,0.07089558400184615
6,331.38667532066586,0.0,0.0,64.86027232893883,0.07091112499620067
7,318.43373701362606,0.0,0.0,62.325073515523684,0.06813941600557882
8,336.7251033504346,0.0,0.0,65.90512995782265,0.07205345800321084
9,304.5621182908196,0.0,0.0,59.610067044204875,0.06517112499568611
10,322.1328293892706,0.0,0.0,63.0490740765663,0.06893095900159096
11,346.8411718814985,0.0,0.0,67.88508572758349,0.0742181250025169
12,320.85566267461155,0.0,0.0,62.799102103969375,0.06865766699775122
13,374.90570573356854,0.0,0.0,73.37798403639027,0.08022345900099026
14,386.9158076380404,0.0,0.0,75.72864728942714,0.08279341700108489
15,335.4308044090277,0.0,0.0,65.65180480003387,0.07177649999357527
16,388.6902847933515,0.0,0.0,76.07595477070589,0.08317312500003027
17,387.62594807984937,0.0,0.0,75.86763870301657,0.08294537500478327
18,390.1639250154146,0.0,0.0,76.36438129245846,0.08348845900036395
19,383.6162843317429,0.0,0.0,75.08285192063312,0.0820873750053579
20,388.70488876434206,0.0,0.0,76.07881311597464,0.08317625000199769
21,391.1120095675774,0.0,0.0,76.54994404082375,0.08369133300584508
22,385.3631097374103,0.0,0.0,75.42474729531305,0.08246116599912057
23,381.9621437858659,0.0,0.0,74.7590971825402,0.08173341699875891
24,385.65558154605156,0.0,0.0,75.48199100053641,0.08252375000301981
25,356.2938326643222,0.0,0.0,69.73519678595287,0.07624083400150994
26,391.34392044465426,0.0,0.0,76.5953345280203,0.08374095799808856
27,326.9782229625547,0.0,0.0,63.99743310880556,0.06996779100154527
28,396.7662756507644,0.0,0.0,77.65661870606465,0.0849012499966193
29,327.27049847477355,0.0,0.0,64.05463839413953,0.0700303330013412
