i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,251.53573576786724,0.0,0.0,62.72152708777785,0.07440958300139755
1,261.23641907506607,0.0,0.0,65.1404345601695,0.07727924999926472
2,259.69001833656097,0.0,0.0,64.75483282643327,0.07682179200128303
3,261.4181167235588,0.0,0.0,65.18574165717872,0.07733300000109011
4,260.86401158116945,0.0,0.0,65.04757313574873,0.07716908399743261
5,249.72157861360998,0.0,0.0,62.269159130020775,0.07387291700069909
6,260.1970815239249,0.0,0.0,64.88127123227001,0.07697179200113169
7,259.727625526503,0.0,0.0,64.764210342417,0.07683291700232076
8,261.2393769415889,0.0,0.0,65.14117211702067,0.07728012499865144
9,267.88415944731423,0.0,0.0,66.79807746549119,0.07924579199971049
10,260.33046618014515,0.0,0.0,64.91453127503361,0.07701124999948661
11,263.3900313748447,0.0,0.0,65.6774471313049,0.0779163340012019
12,262.63957446676875,0.0,0.0,65.49031744516148,0.07769433299836237
13,258.95505728780233,0.0,0.0,64.57156710004472,0.07660437500089756
14,259.6273385675486,0.0,0.0,64.73920335407234,0.07680325000183075
15,261.7203838407915,0.0,0.0,65.26111327435025,0.07742241699816077
16,262.19885205972054,0.0,0.0,65.38042140073868,0.07756395800242899
17,259.2561953593514,0.0,0.0,64.64665718477629,0.0766934580024099
18,260.1817276561712,0.0,0.0,64.8774426787276,0.07696725000278093
19,238.90592081951175,0.0,0.0,59.57222793162153,0.07067341700167162
20,244.5389668999695,0.0,0.0,60.97685241268609,0.07233979100055876
21,257.69162484123956,0.0,0.0,64.25652473765929,0.07623062499988009
22,259.8796025059062,0.0,0.0,64.80210646163543,0.07687787500253762
23,259.9752413748415,0.0,0.0,64.82595442856649,0.07690616699983366
24,260.9768297690729,0.0,0.0,65.07570484040285,0.07720245800010161
25,261.8691223893613,0.0,0.0,65.29820187678934,0.07746641700214241
26,259.81227464687464,0.0,0.0,64.78531796786092,0.07685795799989137
27,259.9996074518044,0.0,0.0,64.83203021557779,0.07691337500000373
28,259.53803797523506,0.0,0.0,64.71693586391773,0.07677683300062199
29,238.99902099587555,0.0,0.0,59.5954428645449,0.07070095800008858
