i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,368.3387189861676,0.4349930365934028,0.0,80.30640675570514,0.12726245800149627
1,367.3617632479832,0.4338392916264337,0.0,80.09340768488006,0.12692491599955247
2,367.4705435091116,0.43396775668772264,0.0,80.11712431157956,0.12696250000226428
3,365.7583109356394,0.4319456797023357,0.0,79.74381779120044,0.12637091699798475
4,367.8431876503508,0.4344078342527762,0.0,80.19836940051252,0.12709125000037602
5,353.7846134202577,0.41780523023831306,0.0,77.13327327476549,0.1222339580017433
6,366.59453018695814,0.4329332206059644,0.0,79.92613303494727,0.12665983399710967
7,367.1217775287856,0.43355587825892195,0.0,80.04108521703175,0.1268420000014885
8,376.1033465977831,0.4441627458004343,0.0,81.99927614777249,0.12994516699836822
9,370.55613254945854,0.43761171176807423,0.0,80.78985448025985,0.128028582999832
10,366.9266538069649,0.4333254450845334,0.0,79.99854370791385,0.12677458399775787
11,368.62272447010054,0.4353284355115649,0.0,80.36832655598121,0.1273605829992448
12,364.35685346744197,0.4302906154684544,0.0,79.43826747109927,0.125886707999598
13,366.21742300664187,0.43248787237339614,0.0,79.8439148997039,0.12652954200166278
14,367.6326256151,0.43415916905853014,0.0,80.15246198003634,0.1270184999993944
15,367.63057643996024,0.43415674906608676,0.0,80.15201521220062,0.12701779200142482
16,368.71896362732775,0.43544209003954043,0.0,80.3893089303767,0.12739383400185034
17,367.2385171663555,0.43369374301986025,0.0,80.06653717289728,0.1268823339996743
18,366.36913475733087,0.4326670377766444,0.0,79.87699158953436,0.12658195900075953
19,367.51130426059996,0.4340158934763626,0.0,80.12601110332848,0.1269765830002143
20,368.5741258840442,0.43527104255928184,0.0,80.35773093402126,0.12734379199901014
21,369.1749382374864,0.4359805774970315,0.0,80.48872199945197,0.1275513750006212
22,366.9844187224905,0.4333936630988714,0.0,80.01113780286857,0.12679454200042528
23,368.75055805987637,0.4354794017785604,0.0,80.39619725142654,0.1274047500010056
24,368.815561671605,0.4355561683985161,0.0,80.41036955049528,0.12742720900132554
25,368.61585334777465,0.4353203209957368,0.0,80.36682849152064,0.12735820899979444
26,357.5469937001284,0.42224844822871266,0.0,77.95355967299311,0.12353387500115787
27,367.53795807863906,0.43404737055071835,0.0,80.13182225551724,0.12698579199786764
28,363.36880378758116,0.4291237690078629,0.0,79.22284966299009,0.1255453329977172
29,366.4730872800551,0.43278980147535573,0.0,79.89965565698876,0.12661787500110222
