i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,1689.978230677281,1.2385452310553302,0.0,471.4170942960058,0.5136817920028989
1,1672.6596167167916,1.2258528268930255,0.0,466.58609084147236,0.5084176670025045
2,1686.590834298074,1.2360626880527024,0.0,470.47218475260024,0.5126521669990325
3,1688.6244236034295,1.237553057745254,0.0,471.0394516817949,0.5132702920018346
4,1677.695815207165,1.2295437381187875,0.0,467.9909314574833,0.5099484580023272
5,1679.42193401695,1.2308087699288348,0.0,468.4724299164265,0.5104731249994074
6,1685.0271558792265,1.234916704978239,0.0,470.0359988164471,0.5121768749995681
7,1682.5739653539526,1.2331188194369973,0.0,469.35168470624956,0.5114312090008752
8,1682.5384603989162,1.2330927986919125,0.0,469.34178064805957,0.5114204169985896
9,1674.6689394641248,1.2273254121968986,0.0,467.1465886478087,0.5090284159996372
10,1680.8004155781405,1.2318190265893751,0.0,468.8569554448154,0.5108921249993728
11,1682.9165262445813,1.2333698742433448,0.0,469.44724159375744,0.5115353330002108
12,1687.0957007162906,1.2364326927564622,0.0,470.61301654295295,0.5128056250032387
13,1688.8170195135012,1.2376942067503773,0.0,471.0931760450152,0.5133288329998322
14,1681.267859008733,1.2321616048671538,0.0,468.9873481444358,0.5110342080006376
15,1680.177795933706,1.2313627233202695,0.0,468.68327655457716,0.5107028750026075
16,1685.5756171743578,1.2353186593402377,0.0,470.1889913375288,0.5123435839996091
17,1685.9842497838042,1.2356181365527226,0.0,470.3029788397836,0.5124677910025639
18,1675.6699046029776,1.2280589959654196,0.0,467.42580649137847,0.5093326669993985
19,1676.2396122854952,1.2284765213041897,0.0,467.5847256628893,0.5095058340011747
20,1676.2516731718042,1.228485360443623,0.0,467.5880900304741,0.5095094999996945
21,1683.9846586455449,1.234152683315873,0.0,469.7451956523632,0.5118600000023434
22,1683.4812990152684,1.233783782901496,0.0,469.6047841784262,0.5117069999978412
23,1683.7237933353138,1.233961501275732,0.0,469.67242763421984,0.511780707998696
24,1688.334087096647,1.2373402769594726,0.0,470.9584627140609,0.5131820420028816
25,1681.8361980700217,1.2325781271756686,0.0,469.14588554094433,0.5112069589995372
26,1684.9586134370372,1.2348664718371505,0.0,470.01687899682673,0.5121560410007078
27,1693.0802254256298,1.2408186099264806,0.0,472.2823914485034,0.5146246670010441
28,1680.5884880218764,1.2316637098761918,0.0,468.79783854557866,0.5108277079998516
29,1685.436887323359,1.2352169875007781,0.0,470.1502928371205,0.5123014160017192
