i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,261.6846194438566,0.0,0.0,70.7870578236059,0.07614516600006027
1,264.8513555634606,0.0,0.0,71.64367650179537,0.07706662499913364
2,269.77737005954486,0.0,0.0,72.97618917951907,0.07849999999962165
3,266.95043658088093,0.0,0.0,72.21148889242174,0.07767741700081388
4,245.5969253936852,0.0,0.0,66.43525246569763,0.07146395800009486
5,264.9049123942919,0.0,0.0,71.65816390456655,0.07708220900167362
6,268.0374194355293,0.0,0.0,72.50552343808509,0.07799370800057659
7,249.45056281499606,0.0,0.0,67.47768153758304,0.07258529200043995
8,261.54973419510105,0.0,0.0,70.7505706585463,0.07610591699994984
9,243.28004640834678,0.0,0.0,65.80852458595446,0.07078979099969729
10,270.3172100512772,0.0,0.0,73.12221871993097,0.07865708300232654
11,272.70482912023755,0.0,0.0,73.76808216217084,0.07935183399968082
12,270.90029688215856,0.0,0.0,73.2799467564564,0.07882674999927985
13,266.24634856319756,0.0,0.0,72.0210294021904,0.0774725409974053
14,264.864243015556,0.0,0.0,71.64716262497149,0.07707037499858416
15,267.43801192267176,0.0,0.0,72.34338057174956,0.07781929200064042
16,268.4402228149727,0.0,0.0,72.61448385835281,0.07811091599796782
17,245.10605773741895,0.0,0.0,66.30247019808976,0.07132112500039511
18,270.45009515394486,0.0,0.0,73.15816483501571,0.07869574999858742
19,269.58577658088814,0.0,0.0,72.92436214176223,0.07844425000075717
20,264.0393016153403,0.0,0.0,71.42401166286199,0.07683033299690578
21,264.65732548978616,0.0,0.0,71.59119035234609,0.07701016599821742
22,268.9903762115632,0.0,0.0,72.76330322870432,0.0782710000021325
23,267.9255872644627,0.0,0.0,72.47527225107741,0.07796116700046696
24,268.883125097681,0.0,0.0,72.73429124161788,0.07823979200111353
25,266.39670220014995,0.0,0.0,72.06170084713644,0.07751629099948332
26,270.10857762340623,0.0,0.0,73.06578255732055,0.07859637499859673
27,269.86486039771097,0.0,0.0,72.99985577345161,0.07852545799687505
28,266.2155630292543,0.0,0.0,72.01270175429117,0.07746358300209977
29,267.78210693862854,0.0,0.0,72.43646007272716,0.07791941699906602
