i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s
0,2841.8260314968174,3.9028612976752415,86.98290005166646,539.3075554900631,0.5156351249970612
1,2818.4617448482527,3.870773629711821,86.26776359088173,534.8735978239179,0.5113957920002576
2,2756.6629408744075,3.7859013829243917,84.37621951682796,523.1457293569697,0.5001827079977375
3,2741.474911483684,3.7650426915618573,83.91134276933079,520.2634209705171,0.49742691600113176
4,2743.5568095696717,3.767901895248307,83.9750657175775,520.658513194703,0.4978046659998654
5,2743.6500444230396,3.768029940630667,83.97791945944695,520.6762068396689,0.49782158299785806
6,2779.6540676393047,3.8174765665725614,85.07993426196066,527.5088706035181,0.5043543329993554
7,2774.160435980272,3.8099318111413405,84.91178462569788,526.4663166160612,0.5033575410016056
8,2762.721482020153,3.7942219646546,84.5616599600847,524.2954890463152,0.5012819999974454
9,2810.6921727986087,3.860103179896819,86.02995173978736,533.3991272325247,0.5099860419977631
10,2779.1339430962007,3.8167622462986417,85.06401423707321,527.4101639646236,0.5042599590015016
11,2778.1701523966453,3.815438610939312,85.03451443336918,527.2272605777097,0.5040850839977793
12,2770.4892187897412,3.8048898939622173,84.79941563674055,525.7696113474226,0.5026914169975498
13,2748.7043804525424,3.774971383300401,84.13262309042545,521.6353934958842,0.4987386669999978
14,2762.1209804912887,3.793397257529595,84.54327974824655,524.1815288643721,0.5011730419973901
15,2799.1682509959614,3.844276641642012,85.67722636981284,531.212174889854,0.507895084003394
16,2814.9393275771636,3.8659360689712168,86.15994908498459,534.2051310610574,0.5107566669976222
17,2778.191503218949,3.815467933388019,85.03516794150863,527.2313124301653,0.5040889579977375
18,2754.1291152150907,3.782421518220782,84.29866392347708,522.664872574317,0.4997229580003477
19,2745.556043502129,3.7706475709700107,84.0362584730099,521.0379178285604,0.4981674170012411
20,2808.8947906798903,3.8576347201703856,85.97493728518867,533.058029028066,0.5096599159987818
21,2757.1403582791954,3.7865570507560364,84.39083235728454,523.2363312483842,0.5002693329988688
22,2771.5646135441475,3.8063668023021995,84.83233142870031,525.9736943946457,0.5028865419990325
23,2826.763615923177,3.8821751197951344,86.52186810465156,536.4490854666476,0.5129021249995276
24,2812.8927900757117,3.8631254282352496,86.09730845710386,533.8167493920553,0.5103853330001584
25,2842.6903871099375,3.9040483724759105,87.00935633613703,539.4715885827364,0.5157919580015005
26,2861.169358671259,3.929426725030988,87.57496257612542,542.978435543195,0.519144875001075
27,2829.818723513932,3.8863708942880266,86.61537914834967,537.0288685315742,0.5134564589970978
28,2856.0532518689556,3.922400448611468,87.41836825905385,542.0075263381291,0.518216583001049
29,2865.5485534638706,3.9354409530947874,87.70900141549514,543.8094972663415,0.5199394580013177
