i,cpu_mj,gpu_mj,ane_mj,dram_mj,time_s,size,profiler,phase,variant
0,355.0041249267728,0.0,0.0,73.82307578403244,0.1089681670018762,500,mac,phase-19,without
1,353.4402104749345,0.0,0.0,73.49785991471933,0.1084881249989848,500,mac,phase-19,without
2,350.8823752799278,0.0,0.0,72.96595831644073,0.1077030000014929,500,mac,phase-19,without
3,350.97739756413245,0.0,0.0,72.98571819187727,0.1077321669981756,500,mac,phase-19,without
4,352.6420323212576,0.0,0.0,73.33187883959745,0.1082431249997171,500,mac,phase-19,without
5,354.0361270375474,0.0,0.0,73.62178071020813,0.1086710410017985,500,mac,phase-19,without
6,334.5734779261205,0.0,0.0,69.57452458154408,0.102696999998443,500,mac,phase-19,without
7,353.746994323176,0.0,0.0,73.56165558831248,0.1085822919994825,500,mac,phase-19,without
8,351.5615043409446,0.0,0.0,73.10718314347316,0.1079114579988527,500,mac,phase-19,without
9,344.2555939822133,0.0,0.0,71.58791974281488,0.1056689159995585,500,mac,phase-19,without
10,353.00555848573197,0.0,0.0,73.40747407273736,0.1083547089983767,500,mac,phase-19,without
11,352.91704867261353,0.0,0.0,73.38906846507626,0.1083275409982889,500,mac,phase-19,without
12,354.5682479676913,0.0,0.0,73.73243520967453,0.1088343749979685,500,mac,phase-19,without
13,340.24380070376134,0.0,0.0,70.75366769212076,0.1044374999983119,500,mac,phase-19,without
14,357.4707397539094,0.0,0.0,74.33600811503362,0.1097252919971651,500,mac,phase-19,without
15,353.83101804782274,0.0,0.0,73.57912831428018,0.108608082999126,500,mac,phase-19,without
16,353.14374430898687,0.0,0.0,73.43620980222931,0.1083971250009199,500,mac,phase-19,without
17,350.9146835745553,0.0,0.0,72.97267682339675,0.1077129170007538,500,mac,phase-19,without
18,352.7980028511226,0.0,0.0,73.36431289722614,0.1082910000004631,500,mac,phase-19,without
19,356.9293892674415,0.0,0.0,74.22343433016144,0.1095591249977587,500,mac,phase-19,without
20,337.23407287000106,0.0,0.0,70.12779506033984,0.1035136669997882,500,mac,phase-19,without
21,353.29401357030446,0.0,0.0,73.46745828157741,0.1084432500028924,500,mac,phase-19,without
22,353.32387845566024,0.0,0.0,73.47366868179559,0.1084524170000804,500,mac,phase-19,without
23,354.1508333805749,0.0,0.0,73.64563388390287,0.1087062500009778,500,mac,phase-19,without
24,353.76314684675725,0.0,0.0,73.56501450413546,0.1085872500007099,500,mac,phase-19,without
25,352.473707948533,0.0,0.0,73.29687580145946,0.1081914579990552,500,mac,phase-19,without
26,360.93358193698526,0.0,0.0,75.0561058349181,0.1107882079995761,500,mac,phase-19,without
27,338.47464045384555,0.0,0.0,70.38577097759506,0.1038944579995586,500,mac,phase-19,without
28,355.80325111504544,0.0,0.0,73.98925400286308,0.1092134579994308,500,mac,phase-19,without
29,354.60680161162924,0.0,0.0,73.7404524364568,0.108846209001058,500,mac,phase-19,without
0,351.7954310298514,0.0,0.0,73.25457676290097,0.1086488340006326,500,mac,phase-26,without
1,355.551001689785,0.0,0.0,74.0366015276662,0.1098087079990364,500,mac,phase-26,without
2,353.76569761686557,0.0,0.0,73.6648465737376,0.1092573329988226,500,mac,phase-26,without
3,351.52425260491015,0.0,0.0,73.19810911439244,0.1085650829991209,500,mac,phase-26,without
4,352.8167204788052,0.0,0.0,73.46724048657845,0.1089642500010086,500,mac,phase-26,without
5,351.8967485585963,0.0,0.0,73.27567417358975,0.108680125002138,500,mac,phase-26,without
6,333.8565823831006,0.0,0.0,69.51915938870556,0.1031085829999938,500,mac,phase-26,without
7,354.3529740261682,0.0,0.0,73.78713549795803,0.1094387080011074,500,mac,phase-26,without
8,352.3524847436932,0.0,0.0,73.37057239684717,0.1088208749970363,500,mac,phase-26,without
9,354.08719643537285,0.0,0.0,73.73179246843152,0.1093566249983268,500,mac,phase-26,without
10,352.01722479777135,0.0,0.0,73.30076101421447,0.1087173329979123,500,mac,phase-26,without
11,352.19504125685603,0.0,0.0,73.33778784373752,0.1087722500014933,500,mac,phase-26,without
12,404.253122170483,0.0,0.0,84.17787372334351,0.1248499169996648,500,mac,phase-26,without
